Name,ID,Nb Casiers,Qualité de collecte,Collecteurs disponibles,latitude,longitude,heures,key,date,quantite,demande
LA VIE CLAIRE LYON LAFAYETTE,PDC-136,12.0,NEUTRE,"['URBY LYON', 'REBOOTEILLE']",45.7638803,4.8635986,"[[9, 20], [33, 44], [57, 68], [81, 92], [105, 116], [129, 140]]", LA VIE CLAIRE LYON LAFAYETTE PDC-136,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE LYON UNIVERSITE,PDC-137,12.0,A SURVEILLER,"['URBY LYON', 'TOUT EN VELO LYON', 'REBOOTEILLE']",45.7490769,4.8419486,"[[9, 20], [33, 44], [57, 68], [81, 92], [105, 116], [129, 140]]", LA VIE CLAIRE LYON UNIVERSITE PDC-137,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE LYON GUILLOTIERE,PDC-138,12.0,TOPISSIME,"['URBY LYON', 'TOUT EN VELO LYON', 'REBOOTEILLE']",45.7499076,4.8512177,"[[9, 20], [33, 44], [57, 68], [81, 92], [105, 116], [129, 140]]", LA VIE CLAIRE LYON GUILLOTIERE PDC-138,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE LYON CHARLEMAGNE,PDC-139,12.0,NEUTRE,"['URBY LYON', 'TOUT EN VELO LYON', 'REBOOTEILLE']",45.742212,4.8206596,"[[7.5, 12], [14, 17], [31.5, 36], [38, 41], [55.5, 60], [62, 65], [79.5, 84], [86, 89], [103.5, 108], [110, 113], [127.5, 132], [134, 137], [151.5, 156], [158, 161]]", LA VIE CLAIRE LYON CHARLEMAGNE PDC-139,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE LYON VAISE,PDC-103,12.0,NEUTRE,"['URBY LYON', 'REBOOTEILLE']",45.7717081,4.8052583,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", LA VIE CLAIRE LYON VAISE PDC-103,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE LYON GERLAND,PDC-140,12.0,NEUTRE,"['URBY LYON', 'TOUT EN VELO LYON', 'REBOOTEILLE']",45.7373136,4.8324752,"[[9, 20], [33, 44], [57, 68], [81, 92], [105, 116], [129, 140]]", LA VIE CLAIRE LYON GERLAND PDC-140,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE VILLEURBANNE DEDIEU,PDC-141,12.0,NEUTRE,"['URBY LYON', 'REBOOTEILLE']",45.7696279,4.8768108,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", LA VIE CLAIRE VILLEURBANNE DEDIEU PDC-141,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE TASSIN LA DEMI LUNE,PDC-142,12.0,NEUTRE,"['URBY LYON', 'REBOOTEILLE']",45.7584511,4.7753608,"[[7, 9], [10, 17.5], [31, 33], [34, 41.5], [55, 57], [58, 65.5], [79, 81], [82, 89.5], [103, 105], [106, 113.5], [127, 129], [130, 137.5]]", LA VIE CLAIRE TASSIN LA DEMI LUNE PDC-142,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE CRAPONNE,PDC-105,12.0,NEUTRE,['REBOOTEILLE'],45.7471409,4.74327377127116,"[[9, 19.5], [33, 43.5], [57, 67.5], [81, 91.5], [105, 115.5], [129, 139.5], [153, 156.5]]", LA VIE CLAIRE CRAPONNE PDC-105,2022-08-09 00:00:00,4.0,0
LA VIE CLAIRE BRIGNAIS,PDC-104,15.0,A SURVEILLER,['REBOOTEILLE'],45.6801938,4.7746187,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", LA VIE CLAIRE BRIGNAIS PDC-104,2022-11-09 00:00:00,4.0,0
LA VIE CLAIRE GENAY,PDC-147,15.0,NEUTRE,['REBOOTEILLE'],45.88943795,4.82823196359431,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", LA VIE CLAIRE GENAY PDC-147,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE VILLEFRANCHE-SUR-SAÔNE,PDC-149,20.0,NEUTRE,['REBOOTEILLE'],45.980789,4.3339739,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", LA VIE CLAIRE VILLEFRANCHE-SUR-SAÔNE PDC-149,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE TARARE,PDC-068,30.0,NEUTRE,['REBOOTEILLE'],45.8886231,4.4553531,"[[8.5, 19.5], [32.5, 43.5], [56.5, 67.5], [80.5, 91.5], [104.5, 115.5], [128.5, 139.5]]", LA VIE CLAIRE TARARE PDC-068,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE  SAINT PRIEST EN JAREZ,PDC-153,12.0,NEUTRE,['REBOOTEILLE'],45.4734424,4.3831912,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", LA VIE CLAIRE  SAINT PRIEST EN JAREZ PDC-153,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE SAINT-ETIENNE,PDC-155,12.0,NEUTRE,"['LES COURSIERS STEPHANOIS', 'REBOOTEILLE']",45.7312154,4.2258371,"[[8.5, 13], [14, 19.5], [32.5, 37], [38, 43.5], [56.5, 61], [62, 67.5], [80.5, 85], [86, 91.5], [104.5, 109], [110, 115.5], [128.5, 133], [134, 139.5]]", LA VIE CLAIRE SAINT-ETIENNE PDC-155,2022-12-05 00:00:00,0.0,0
VRAC EN VERT,PDC-045,12.0,NEUTRE,"['ENVIE LOIRE', 'LES COURSIERS STEPHANOIS', 'REBOOTEILLE']",45.4389411,4.392083,"[[13, 19], [33.5, 43], [57.5, 67], [81.5, 91], [105.5, 115], [129.5, 139]]", VRAC EN VERT PDC-045,2022-11-08 00:00:00,8.0,0
BIOCOOP VALSERINE,PDC-073,50.0,NEUTRE,['REBOOTEILLE'],46.12815445,5.8128477392148,"[[14.5, 18], [33.5, 42], [57.5, 66], [81.5, 90], [105, 114], [129, 138]]", BIOCOOP VALSERINE PDC-073,2022-07-12 00:00:00,30.0,1
EPI C'EST BON,PDC-040,5.0,NEUTRE,"['URBY LYON', 'TOUT EN VELO LYON', 'REBOOTEILLE']",45.7374578,4.8871705,"[[58, 67], [88, 91], [105, 110]]", EPI C'EST BON PDC-040,2022-05-03 00:00:00,4.0,0
BIOCOOP CONFLUENCE,PDC-060,15.0,TOPISSIME,"['URBY LYON', 'TOUT EN VELO LYON', 'REBOOTEILLE']",45.7459212,4.8232943,"[[8.5, 9], [32.5, 33], [56.5, 57], [80.5, 81], [104.5, 105], [128.5, 129], [152.5, 153]]", BIOCOOP CONFLUENCE PDC-060,2022-11-14 00:00:00,10.0,1
BIOCOOP DU VAL D'AZERGUES,PDC-064,40.0,NEUTRE,['REBOOTEILLE'],45.8568315,4.7039802,"[[9, 19.5], [33, 43.5], [57, 67.5], [81, 91.5], [105, 115.5], [129, 139.5]]", BIOCOOP DU VAL D'AZERGUES PDC-064,2022-11-23 00:00:00,5.0,0
BIOCOOP ANDREZIEUX (BIOCOCCINELLE),PDC-047,20.0,NEUTRE,"['ENVIE LOIRE', 'REBOOTEILLE']",45.5331756,4.2863538,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", BIOCOOP ANDREZIEUX (BIOCOCCINELLE) PDC-047,2022-11-25 00:00:00,4.0,0
BIOCOOP BIOPLAISIR CRAPONNE,PDC-074,12.0,NEUTRE,['REBOOTEILLE'],45.74803315,4.74359339627283,"[[9, 19.5], [33, 43.5], [57, 67.5], [81, 91.5], [105, 115.5], [129, 139.5]]", BIOCOOP BIOPLAISIR CRAPONNE PDC-074,2022-11-02 00:00:00,11.0,0
BIOCOOP DU GRAND LARGE,PDC-177,20.0,NEUTRE,['REBOOTEILLE'],45.766642,4.986424,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", BIOCOOP DU GRAND LARGE PDC-177,2022-12-05 00:00:00,0.0,0
BIOCOOP LE MONDE ALLANT VERT (VILLEFRANCHE),PDC-053,40.0,NEUTRE,['REBOOTEILLE'],45.9842214,4.742697,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", BIOCOOP LE MONDE ALLANT VERT (VILLEFRANCHE) PDC-053,2022-10-12 00:00:00,19.0,0
BIOCOOP DES MONTS D'OR,PDC-097,20.0,A SURVEILLER,['REBOOTEILLE'],45.8038787,4.7835333,"[[9, 19.5], [33, 43.5], [57, 67.5], [81, 91.5], [105, 115.5], [129, 139.5]]", BIOCOOP DES MONTS D'OR PDC-097,2022-11-09 00:00:00,13.0,0
BIOCOOP PORTE DES ALPES,PDC-076,30.0,TOPISSIME,"['URBY LYON', 'REBOOTEILLE']",45.7256162,4.929976,"[[9.5, 19.5], [33.5, 43.5], [57.5, 67.5], [81.5, 91.5], [105.5, 115.5], [129, 139]]", BIOCOOP PORTE DES ALPES PDC-076,2022-11-28 00:00:00,4.0,0
BIOCOOP BIOPLAISIR OULLINS,PDC-077,12.0,A SURVEILLER,"['URBY LYON', 'REBOOTEILLE']",45.7153377,4.8082655,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", BIOCOOP BIOPLAISIR OULLINS PDC-077,2022-11-24 00:00:00,2.0,0
AU COMPTOIR DE BETTY,PDC-035,12.0,NEUTRE,['REBOOTEILLE'],45.7827661,4.707723,"[[9, 14], [16, 19], [33, 38], [40, 43], [57, 62], [64, 67], [105, 110], [112, 115], [129, 133], [135.5, 139], [153, 156.5]]", AU COMPTOIR DE BETTY PDC-035,2022-10-18 00:00:00,8.0,0
MON CABAS VERT,PDC-066,12.0,NEUTRE,['REBOOTEILLE'],45.7240322,4.9775483,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", MON CABAS VERT PDC-066,2022-03-23 00:00:00,6.0,0
VIRAGE SEPT BRASSERIE,PDC-043,21.0,NEUTRE,['REBOOTEILLE'],45.8306222,4.6132988,"[[35, 45], [59, 69], [83, 93], [107, 119], [131, 143]]", VIRAGE SEPT BRASSERIE PDC-043,2022-11-22 00:00:00,4.0,0
LA P'TITE DISTRIB' (GRAP),PDC-044,12.0,TOPISSIME,"['GRAP / COOLIVRI', 'URBY LYON', 'TOUT EN VELO LYON', 'REBOOTEILLE']",45.7434546,4.8346996,"[[10, 19.5], [33, 43.5], [57, 67.5], [81, 91.5], [105, 115.5], [129, 139.5]]", LA P'TITE DISTRIB' (GRAP) PDC-044,2022-11-24 00:00:00,5.0,0
MES BIERES PRECIEUSES,PDC-085,30.0,NEUTRE,['REBOOTEILLE'],45.8732697,4.8175453,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", MES BIERES PRECIEUSES PDC-085,2022-09-13 00:00:00,17.0,0
LA CAGETTE DES GONES,PDC-110,12.0,NEUTRE,"['URBY LYON', 'REBOOTEILLE']",45.7750011,4.8284975,"[[10, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", LA CAGETTE DES GONES PDC-110,2022-10-24 00:00:00,5.0,0
LES Z'AGITEES DU BOCAL,PDC-126,40.0,NEUTRE,['REBOOTEILLE'],45.932872,4.958434,"[[14, 17], [32.5, 41], [56.5, 65], [80.5, 89], [104.5, 113]]", LES Z'AGITEES DU BOCAL PDC-126,2022-12-05 00:00:00,0.0,0
